seed,best_val_ic,test_ic,test_rankic,top30_sharpe,top50_sharpe
0,0.06530562,0.03955779,0.03859691,2.78298521,2.49997196
1,0.05738873,0.03860631,0.04122363,1.94876777,2.44036862
2,0.07178806,0.05025397,0.03781613,3.65780083,4.01031722
3,0.06756218,0.03821824,0.04009048,1.45559958,1.60085663
4,0.07188459,0.04436873,0.04085446,2.82919779,3.11890197

best_val_ic: 0.06678584 +- 0.00596068
test_ic: 0.04220101 +- 0.00513128
test_rankic: 0.03971632 +- 0.00146383
top30_sharpe: 2.53487024 +- 0.85403515
top50_sharpe: 2.73408328 +- 0.89472587
